node_u,node_v,label,common_neighbors,jaccard,adamic_adar,degree_u,degree_v,preferential_attachment,h_index_sum,h_index_diff,citations_sum,citations_diff,area_jaccard
57218595550,59797986500,0,0,0.0,0.0,16,2,32,13,1,338,112,0.0
36144437800,57191910080,0,0,0.0,0.0,10,1,10,8,2,80,10,0.0
57362667700,7004239568,0,0,0.0,0.0,5,30,150,26,22,3359,3339,0.022727272727272728
57226123823,59944389400,0,0,0.0,0.0,8,38,304,19,15,893,825,0.0
56401926100,57195065455,0,0,0.0,0.0,15,30,450,24,4,946,358,0.0
50462510200,57719990600,0,0,0.0,0.0,3,13,39,22,18,1113,1095,0.020833333333333332
55404271700,58575567800,0,0,0.0,0.0,71,6,426,26,16,1575,1431,0.11428571428571428
55133761700,55849415300,0,0,0.0,0.0,12,3,36,26,10,1307,955,0.038461538461538464
55355939200,57222064066,0,0,0.0,0.0,14,3,42,11,7,245,195,0.058823529411764705
56401670600,57212420665,0,0,0.0,0.0,11,11,121,10,2,177,81,0.0
56487791700,56494277900,0,0,0.0,0.0,9,9,81,14,4,197,81,0.09090909090909091
55358891700,57226125260,0,0,0.0,0.0,24,4,96,22,20,1989,1899,0.06060606060606061
57204634911,57209641836,0,0,0.0,0.0,1,9,9,8,6,250,246,0.0
57215043417,57218195127,0,0,0.0,0.0,5,17,85,8,4,948,864,0.03333333333333333
29767703100,57222364372,0,0,0.0,0.0,17,5,85,31,23,2194,2106,0.07407407407407407
42361850800,57475686400,0,0,0.0,0.0,8,1,8,13,9,395,385,0.0
55598364800,57396461300,0,0,0.0,0.0,17,2,34,7,5,107,103,0.07142857142857142
56835238700,57201557215,0,0,0.0,0.0,11,1,11,6,2,69,37,0.0
23093386100,57195065379,0,0,0.0,0.0,6,32,192,20,4,687,123,0.03571428571428571
55583932500,57217336969,0,0,0.0,0.0,10,8,80,10,4,213,63,0.16666666666666666
57204524013,6602993112,0,0,0.0,0.0,1,4,4,25,23,2264,2246,0.02564102564102564
57197773630,57205540254,0,0,0.0,0.0,62,13,806,13,1,398,24,0.08333333333333333
57203260803,57213772876,0,0,0.0,0.0,8,7,56,7,3,105,85,0.0
56962596600,6602977166,0,0,0.0,0.0,11,25,275,40,26,3805,3475,0.1346153846153846
57191407988,57206938059,0,0,0.0,0.0,4,16,64,10,2,470,124,0.15789473684210525
54791865700,57203552338,0,0,0.0,0.0,13,3,39,17,5,464,258,0.07407407407407407
56954622400,57202735929,0,0,0.0,0.0,2,4,8,3,3,23,23,0.0
22135510100,57261257200,0,0,0.0,0.0,5,3,15,30,24,2704,2662,0.02702702702702703
57201614824,57221148565,0,0,0.0,0.0,4,1,4,9,3,151,71,0.05
15032600400,57057275300,0,0,0.0,0.0,3,6,18,10,2,338,16,0.0
24074075300,57195982562,0,0,0.0,0.0,5,9,45,15,11,571,517,0.03333333333333333
25639718900,55835740200,0,0,0.0,0.0,2,10,20,18,6,971,581,0.03225806451612903
15136518800,7103307130,0,0,0.0,0.0,4,4,16,13,1,418,6,0.0
57202600599,57221688357,0,0,0.0,0.0,3,6,18,9,5,187,165,0.0
57208651654,57218144267,0,0,0.0,0.0,18,3,54,8,2,194,110,0.058823529411764705
55509687900,57191492900,0,0,0.0,0.0,7,6,42,22,6,953,635,0.14814814814814814
54783056700,57222038917,0,0,0.0,0.0,22,9,198,8,4,144,72,0.09090909090909091
57217698482,6508015390,0,0,0.0,0.0,2,11,22,37,3,3268,1556,0.09803921568627451
57204671752,57205462623,0,0,0.0,0.0,1,3,3,4,0,261,163,0.0
57202437390,6506171002,0,0,0.0,0.0,9,18,162,17,13,883,809,0.045454545454545456
57226692280,7103061103,0,0,0.0,0.0,5,12,60,25,21,1793,1711,0.0
57204832524,57210463803,0,0,0.0,0.0,9,3,27,12,2,467,37,0.06451612903225806
55602434900,57222076121,0,0,0.0,0.0,1,18,18,8,0,104,18,0.0
57205596214,57220921306,0,0,0.0,0.0,5,1,5,8,4,131,97,0.0
57215106856,58235354900,0,0,0.0,0.0,5,3,15,5,3,64,44,0.058823529411764705
54959901300,57214191677,0,0,0.0,0.0,1,17,17,24,12,1401,1067,0.05263157894736842
56403974800,57120078000,0,0,0.0,0.0,13,1,13,18,6,1574,482,0.10869565217391304
23567383600,7006940836,0,0,0.0,0.0,36,38,1368,64,4,8078,1746,0.19753086419753085
54938953500,57225217157,0,0,0.0,0.0,18,2,36,21,15,1378,1342,0.0
14323836500,57213651245,0,0,0.0,0.0,12,24,288,10,2,239,107,0.13636363636363635
37050828000,57211338218,0,0,0.0,0.0,2,9,18,9,5,191,139,0.0
37080314200,57215572475,0,0,0.0,0.0,11,10,110,11,7,222,166,0.04
14013330900,7101828170,0,0,0.0,0.0,1,78,78,52,38,8402,7770,0.0410958904109589
57201492752,57216753873,0,0,0.0,0.0,10,2,20,6,0,53,5,0.058823529411764705
57198353727,57214492532,0,0,0.0,0.0,6,15,90,11,5,348,230,0.0
14056461000,37033733600,0,0,0.0,0.0,13,25,325,15,3,406,174,0.0
56480754700,6507441195,0,0,0.0,0.0,8,14,112,19,7,1170,276,0.39285714285714285
56451087100,57219232917,0,0,0.0,0.0,20,1,20,9,7,239,229,0.0
57193681931,6602789090,0,0,0.0,0.0,3,4,12,6,0,219,135,0.043478260869565216
55070036100,7101975791,0,0,0.0,0.0,62,24,1488,58,16,5255,2859,0.0967741935483871
58445911900,8657454300,0,0,0.0,0.0,7,16,112,13,9,360,236,0.07692307692307693
36861375100,57222030405,0,0,0.0,0.0,13,10,130,13,9,367,279,0.058823529411764705
57195429424,7402170845,0,0,0.0,0.0,6,20,120,141,129,70005,69811,0.075
10045032400,7003866554,0,0,0.0,0.0,6,7,42,40,28,3701,3263,0.024390243902439025
57188759143,57207684461,0,0,0.0,0.0,5,13,65,14,2,365,167,0.16129032258064516
57200565305,57210724846,0,0,0.0,0.0,7,3,21,6,0,555,499,0.0
57202131590,57722436200,0,0,0.0,0.0,3,3,9,6,2,188,20,0.18181818181818182
55329077700,57210285313,0,0,0.0,0.0,2,8,16,24,8,807,333,0.10416666666666667
55986627700,57226385771,0,0,0.0,0.0,25,7,175,11,5,268,228,0.0
57191956654,57212702190,0,0,0.0,0.0,21,3,63,24,16,1675,1573,0.046511627906976744
55558132100,57203767462,0,0,0.0,0.0,21,18,378,20,12,861,751,0.05555555555555555
57215486453,57221949854,0,0,0.0,0.0,2,143,286,45,39,7400,7276,0.0
57193088911,57196516585,0,0,0.0,0.0,16,5,80,9,7,214,212,0.0
57218269614,57218602483,0,0,0.0,0.0,3,10,30,5,1,82,14,0.0
56676322600,57207455147,0,0,0.0,0.0,11,8,88,8,0,109,53,0.0
55842599300,57203171707,0,0,0.0,0.0,56,1,56,47,43,5334,5318,0.046153846153846156
56085612400,58492949000,0,0,0.0,0.0,13,4,52,8,0,120,0,0.0
37091702000,57213840834,0,0,0.0,0.0,3,18,54,8,2,196,46,0.0
57214538182,57264877700,0,0,0.0,0.0,1,5,5,3,1,22,12,0.0
57192642829,57454133500,0,0,0.0,0.0,31,5,155,14,8,421,363,0.0
35419894800,57215907509,0,0,0.0,0.0,47,6,282,41,37,7282,7270,0.06
57351933900,59586827600,0,0,0.0,0.0,78,26,2028,25,7,1903,1147,0.1590909090909091
10044311600,57202947398,0,0,0.0,0.0,4,7,28,31,25,2589,2525,0.02040816326530612
57211031880,57221445700,0,0,0.0,0.0,2,4,8,8,2,144,26,0.13793103448275862
56732381200,57196370330,0,0,0.0,0.0,17,34,578,20,6,721,325,0.06451612903225806
23027995000,57191632365,0,0,0.0,0.0,12,6,72,17,9,674,508,0.03225806451612903
53879388500,57194869340,0,0,0.0,0.0,11,54,594,48,20,4789,3751,0.05714285714285714
57201728561,6506361783,0,0,0.0,0.0,2,10,20,43,15,3856,2750,0.06779661016949153
57200824306,57215969159,0,0,0.0,0.0,29,1,29,7,3,110,60,0.0
55386448400,57202776363,0,0,0.0,0.0,10,12,120,20,2,883,337,0.047619047619047616
55970900600,8353821500,0,0,0.0,0.0,11,13,143,19,13,678,552,0.027777777777777776
55153093800,57208875935,0,0,0.0,0.0,1,2,2,13,3,345,75,0.03225806451612903
56819980000,57573508800,0,0,0.0,0.0,10,1,10,17,15,736,728,0.0
55647917800,56747961300,0,0,0.0,0.0,11,2,22,9,3,160,92,0.0
55662216200,57200116102,0,2,0.1,0.46616328714004734,13,9,117,12,6,469,379,0.047619047619047616
57195577884,7801528716,0,0,0.0,0.0,8,7,56,14,2,543,299,0.07692307692307693
57221772511,7005372641,0,0,0.0,0.0,7,20,140,16,12,872,738,0.0
42062305700,57218584481,0,0,0.0,0.0,11,4,44,12,8,564,544,0.17391304347826086
57224588100,7006612363,0,0,0.0,0.0,3,26,78,26,22,1914,1860,0.02702702702702703
57200685680,57211337705,0,0,0.0,0.0,2,6,12,11,1,173,61,0.12
41961590900,55115920800,0,0,0.0,0.0,2,3,6,19,7,638,336,0.0
24329881300,59289912700,0,0,0.0,0.0,23,16,368,37,23,8161,7793,0.18181818181818182
35317341600,35378828900,0,0,0.0,0.0,11,80,880,61,25,7889,6405,0.16666666666666666
12143506000,57205616187,0,0,0.0,0.0,22,1,22,6,4,82,74,0.0
55347249800,57201898788,0,0,0.0,0.0,19,3,57,11,3,266,202,0.09302325581395349
12771529000,58816993400,0,0,0.0,0.0,4,3,12,6,4,73,71,0.2
55572848300,58044242000,0,0,0.0,0.0,7,8,56,13,3,254,104,0.125
55905205100,7003538249,0,0,0.0,0.0,19,8,152,22,12,1201,867,0.03225806451612903
35449361400,57215986944,0,0,0.0,0.0,57,14,798,25,13,1814,1626,0.022222222222222223
57208624960,57226599828,0,0,0.0,0.0,6,9,54,9,1,144,56,0.0
24503743000,57846974800,0,0,0.0,0.0,10,3,30,15,11,727,719,0.022727272727272728
57201237275,57204671752,0,0,0.0,0.0,3,1,3,39,35,10837,10739,0.017543859649122806
55479849400,7103315128,0,0,0.0,0.0,14,7,98,25,13,1416,1136,0.027777777777777776
57198412586,57207047002,0,0,0.0,0.0,7,4,28,4,0,115,7,0.0
55328810400,57194539161,0,0,0.0,0.0,17,19,323,19,7,1169,945,0.11764705882352941
57219204189,7004325688,0,0,0.0,0.0,7,15,105,29,25,2672,2626,0.16
23003258800,57194857217,0,0,0.0,0.0,59,2,118,36,16,3395,2257,0.3076923076923077
57117489600,57189254852,0,0,0.0,0.0,1,8,8,6,2,44,6,0.0
57208662522,57751873500,0,0,0.0,0.0,6,8,48,4,0,51,17,0.23076923076923078
14422612800,56584651800,0,0,0.0,0.0,11,8,88,15,1,861,345,0.06896551724137931
26647133500,55810972000,0,0,0.0,0.0,15,6,90,15,9,778,704,0.1
54890745800,57203899312,0,0,0.0,0.0,21,3,63,14,10,489,419,0.10714285714285714
57223241922,7103153424,0,0,0.0,0.0,12,38,456,53,47,13446,13384,0.03614457831325301
35419894800,57215486453,0,0,0.0,0.0,47,2,94,42,36,7338,7214,0.0
60065032800,7401739764,0,0,0.0,0.0,1,3,3,32,30,4431,4427,0.02
14065821600,36020052800,0,0,0.0,0.0,7,1,7,32,4,1543,171,0.057971014492753624
57202894700,57203852441,0,0,0.0,0.0,1,6,6,4,0,34,14,0.0
57194469942,57218854980,0,0,0.0,0.0,10,2,20,8,6,146,114,0.0
57210841125,6603332561,0,0,0.0,0.0,2,8,16,16,12,668,608,0.0
36881021500,57202019758,0,0,0.0,0.0,14,7,98,40,2,2660,532,0.15492957746478872
57213557667,57215213867,0,0,0.0,0.0,8,5,40,4,2,65,59,0.0
57195961955,7005623741,0,0,0.0,0.0,6,47,282,19,13,879,811,0.02857142857142857
57202833589,57215103143,0,0,0.0,0.0,11,2,22,6,2,84,46,0.0
57202575414,57216440887,0,0,0.0,0.0,19,11,209,11,7,285,253,0.0
57220434860,57288044400,0,0,0.0,0.0,10,4,40,9,3,176,80,0.09090909090909091
57190766886,59662861800,0,0,0.0,0.0,6,3,18,21,1,632,18,0.06779661016949153
55664777800,57205971214,0,0,0.0,0.0,15,8,120,12,0,276,136,0.0
56073934300,57230084300,0,0,0.0,0.0,20,2,40,17,15,566,558,0.0
57192593705,57210987876,0,0,0.0,0.0,9,12,108,12,2,281,75,0.06666666666666667
57190370382,57211426825,0,0,0.0,0.0,4,39,156,11,3,204,116,0.0
57190761644,57217618521,0,0,0.0,0.0,2,28,56,8,0,110,20,0.0
57204017418,57209214474,0,0,0.0,0.0,12,2,24,9,1,307,145,0.1111111111111111
57214178872,58303598400,0,0,0.0,0.0,26,3,78,10,8,380,374,0.0
35612006900,57214849973,0,0,0.0,0.0,1,9,9,14,10,421,371,0.0
